bartime,index_name,line_name,value
201909020935,DualThrust,upper_bound,3818.44
201909020935,DualThrust,lower_bound,3768.76
201909020940,DualThrust,upper_bound,3835.8
201909020940,DualThrust,lower_bound,3783
201909020945,DualThrust,upper_bound,3845.76
201909020945,DualThrust,lower_bound,3786.24
201909020950,DualThrust,upper_bound,3837.36
201909020950,DualThrust,lower_bound,3777.84
201909020955,DualThrust,upper_bound,3846.68
201909020955,DualThrust,lower_bound,3785.72
201909021000,DualThrust,upper_bound,3841.08
201909021000,DualThrust,lower_bound,3780.12
201909021005,DualThrust,upper_bound,3843.88
201909021005,DualThrust,lower_bound,3782.92
201909021010,DualThrust,upper_bound,3861.56
201909021010,DualThrust,lower_bound,3790.04
201909021015,DualThrust,upper_bound,3861.16
201909021015,DualThrust,lower_bound,3789.64
201909021020,DualThrust,upper_bound,3857.56
201909021020,DualThrust,lower_bound,3786.04
201909021025,DualThrust,upper_bound,3853.16
201909021025,DualThrust,lower_bound,3781.64
201909021030,DualThrust,upper_bound,3866.56
201909021030,DualThrust,lower_bound,3791.44
201909021035,DualThrust,upper_bound,3867.32
201909021035,DualThrust,lower_bound,3790.28
201909021040,DualThrust,upper_bound,3869.36
201909021040,DualThrust,lower_bound,3791.84
201909021045,DualThrust,upper_bound,3866.36
201909021045,DualThrust,lower_bound,3788.84
201909021050,DualThrust,upper_bound,3866.16
201909021050,DualThrust,lower_bound,3788.64
201909021055,DualThrust,upper_bound,3861.56
201909021055,DualThrust,lower_bound,3784.04
201909021100,DualThrust,upper_bound,3865.56
201909021100,DualThrust,lower_bound,3788.04
201909021105,DualThrust,upper_bound,3869.8
201909021105,DualThrust,lower_bound,3791.8
201909021110,DualThrust,upper_bound,3866.2
201909021110,DualThrust,lower_bound,3788.2
201909021115,DualThrust,upper_bound,3867.8
201909021115,DualThrust,lower_bound,3789.8
201909021120,DualThrust,upper_bound,3869.6
201909021120,DualThrust,lower_bound,3791.6
201909021125,DualThrust,upper_bound,3862.28
201909021125,DualThrust,lower_bound,3790.52
201909021130,DualThrust,upper_bound,3867.88
201909021130,DualThrust,lower_bound,3798.52
201909021305,DualThrust,upper_bound,3873.44
201909021305,DualThrust,lower_bound,3803.36
